nome,partido,uf,MPV 103/2003,MPV 104/2003,MPV 106/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 114/2003,MPV 116/2003,MPV 116/2003,MPV 117/2003,MPV 117/2003,MPV 118/2003,MPV 120/2003,MPV 120/2003,MPV 121/2003,MPV 121/2003,MPV 121/2003,MPV 121/2003,MPV 122/2003,MPV 124/2003,MPV 125/2003,MPV 125/2003,MPV 125/2003,MPV 125/2003,MPV 126/2003,MPV 126/2003,MPV 126/2003,MPV 129/2003,MPV 130/2003,MPV 130/2003,MPV 131/2003,MPV 132/2003,MPV 132/2003,MPV 133/2003,MPV 135/2003,MPV 135/2003,MPV 135/2003,MPV 135/2003,MPV 79/2002,MPV 79/2002,MPV 80/2002,MPV 82/2002,MPV 82/2002,MPV 86/2002,MPV 94/2002,MSC 199/2003,MSC 48/2002,PEC 254/2000,PEC 254/2000,PEC 306/2000,PEC 306/2000,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 53/1999,PEC 53/1999,PEC 53/1999,PEC 544/2002,PEC 575/1998,PL 1083/2003,PL 1084/2003,PL 1084/2003,PL 1503/2003,PL 1555/2003,PL 1840/2003,PL 1840/2003,PL 1840/2003,PL 1840/2003,PL 1936/2003,PL 2681/1996,PL 3464/2000,PL 3731/1997,PL 4285/2001,PL 4376/1993,PL 4572/1998,PL 4572/1998,PL 475/2003,PL 5073/2001,PL 58/2003,PL 7136/2002,PLP 224/2001,PLP 41/2003,PLP 52/1999,PLP 58/2003,PLP 58/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 73/2003
Rogério Teófilo,PFL,AL,-1,0,1,1,-1,0,0,-1,0,0,1,0,1,0,1,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,1,1,-1,1,0,0,1,0,1,-1,0,-1,-1,0,1,1,1,-1,1,0,1,1,1,-1,1,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0
Maurício Quintella Lessa,PSB,AL,1,0,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,1,1,1,0,1,1,0,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-1,1,1,0,0,-1,-1,0,0,0,1,0,1,0,0,0,-1,-1,0,-1,1,1,0,0,1
Silas Câmara,PTB,AM,1,1,-1,0,0,0,1,1,1,1,1,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,-1,-1,0,1,0,1,0,-1,1,1,0,1,0,1,1,0,-1,1,1,1,-1,-1,1,1,1,0,-1,1,-1,1,1,-1,0,1,-1,1,0,0,0,1,-1,-1,0,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,-1,-1,0,0,1,0,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,1
Carlos Souza,PL,AM,1,1,0,-1,1,-1,0,1,1,1,1,0,1,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,1,1,0,1,1,-1,1,1,1,0,1,1,0,1,1,1,1,0,-1,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,0,-1,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,0,1,-1,1,1,-1,0,-1,-1,-1,0,-1,1,0,0,0,0,-1,1,0,1,1,0,-1,1,1,1,1,0,1,0,1,-1,-1,0,-1,-1,-1,1,1,-1,1
Pauderney Avelino,PFL,AM,-1,0,1,0,-1,0,0,-1,0,1,1,0,1,0,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0,1,1,1,0,1,1,-1,0,-1,-1,0,1,1,1,-1,1,0,1,1,1,-1,1,0,0,0,0,-1,1,0,-1,1,0,0,1,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,-1,1,0,-1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,-1,0,0,0,0,1,1,0,0,0,1,1,-1,0,0,0,0,0,1,-1,0,0
Átila Lins,PPS,AM,1,1,0,-1,0,-1,1,1,1,1,1,0,-1,0,0,-1,-1,1,0,0,-1,1,-1,0,-1,1,-1,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,-1,1,0,-1,1,1,-1,0,1,-1,1,1,0,1,1,1,0,1,-1,1,1,1,-1,0,1,1,1,0,-1,0,0,1,1,0,-1,1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,0,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vanessa Grazziotin,PCdoB,AM,1,1,-1,-1,1,-1,0,0,0,1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,0,0,-1,1,1,1,-1,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,0,-1,1,-1,1,1,1,0,-1,1,1,1,1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,1,0,1,-1,-1,-1,0,-1,1,-1,0,1,-1,-1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,-1,-1,-1,0,-1,-1,0,0,1,1
Valdenor Guedes,PPB,AP,-1,-1,-1,1,1,0,1,1,0,-1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davi Alcolumbre,PDT,AP,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,-1,1,-1,0,-1,0,1,1,1,-1,1,0,1,1,1,0,0,1,-1,1,0,1,-1,-1,1,-1,1,0,-1,1,1,1,1,-1,0,1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,-1,0,1,1,1,-1,0,-1,0,-1,0,0,1,0,0,-1,0,0,1,0,-1,-1,0,0,1,0,0,1,1,1,-1,0,0,0,0,0,0,0,1,0
Antonio Nogueira,PT,AP,1,1,-1,-1,1,-1,1,1,1,0,1,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,1,0,-1,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,1,1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,0,1,-1,1,0,1,-1,0,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,0,-1,0,1,1,1,-1,-1,1,1,0,0,1,0,1,1,-1,0,0,-1,0,-1,1,1,1,0
Hélio Esteves,PT,AP,1,1,0,-1,1,-1,1,1,1,0,1,-1,-1,0,-1,-1,0,1,-1,1,0,1,-1,0,-1,1,-1,-1,1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,-1,0,1,1,0,0,1,-1,1,-1,1,1,0,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,0,-1,1,0,1,1,1,0,-1,1,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,0,0,-1,0,0,1,0,-1,-1,0,1,1,1,0,1,1,1,-1,-1,0,-1,-1,-1,1,0,0,1
Mário Negromonte,PPB,BA,-1,-1,-1,0,1,0,1,1,0,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Leão,PL,BA,1,0,0,-1,1,0,1,1,1,1,1,0,-1,0,0,-1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1,1,0,0,1,1,-1,1,1,1,1,0,1,0,1,0,1,1,1,-1,-1,1,1,1,0,-1,1,0,1,1,-1,-1,1,-1,1,-1,1,0,1,0,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,1,1,-1,1,0,0,1,-1,-1,-1,1,0,1,-1,1,1,-1,-1,0,1,1,1,-1,-1,1,0,0,0,1,1,1,0,0,-1,0,-1,-1,-1,1,1,1,1
Severiano Alves,PDT,BA,1,1,-1,-1,1,-1,1,1,1,0,1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0,0,0,1,-1,-1,1,-1,0,-1,0,-1,1,-1,-1,-1,0,-1,1,0,-1,1,1,0,1,1,-1,0,0,0,0,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,1,0,1,1,1,-1,-1,1,1,1,1,-1,0,-1,0,0,-1,0,0,-1,1,0,-1,1,1,1,-1,0,1,1,1,-1,-1,-1,1,0,1,-1,1,1,0,-1,1,0,0,0,-1,-1,1,0,1,1,1,0,0,0,-1,0,0,-1,0,0,0,0,0,1
Luiz Alberto,PT,BA,1,0,-1,0,0,0,0,0,0,1,1,0,-1,0,-1,-1,-1,1,0,1,-1,1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,0,1,-1,0,1,-1,1,0,1,1,0,1,-1,1,0,1,1,0,-1,-1,1,1,0,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,1,1,-1,1,1,0,1,0,0,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,0,1,0,1,1,-1,0,0,-1,-1,0,0,1,1,1
Walter Pinheiro,PT,BA,1,1,-1,-1,1,-1,0,0,1,0,1,-1,0,0,-1,-1,-1,1,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,0,0,-1,1,1,-1,1,1,-1,0,1,1,0,1,1,-1,0,0,0,1,0,-1,-1,1,1,0,0,-1,1,1,0,1,-1,-1,1,0,-1,0,1,0,1,-1,-1,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,1,0,1,0,-1,-1,0,1,1,-1,-1,-1,1,1,1,1,1,0,1,1,-1,0,-1,-1,-1,-1,0,0,1,1
Zezéu Ribeiro,PT,BA,1,1,-1,-1,1,-1,0,1,1,1,1,-1,-1,0,-1,0,-1,1,0,1,-1,1,-1,0,-1,1,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,1,-1,-1,0,1,-1,0,1,-1,0,1,1,1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,0,0,1,1,1,1,-1,0,1,0,1,-1,1,0,1,-1,0,-1,1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,1,1,1,-1,1,1,1,1,-1,-1,-1,1,0,1,-1,0,1,-1,-1,0,0,1,1,0,-1,1,1,0,0,1,0,1,0,0,-1,-1,0,-1,0,1,1,1,0
Luiz Bassuma,PT,BA,1,0,-1,-1,1,-1,1,1,1,1,0,0,-1,0,-1,0,0,1,-1,1,0,1,-1,0,0,1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,0,-1,0,1,-1,0,1,1,-1,0,1,0,1,1,0,1,0,1,-1,0,-1,1,1,1,-1,-1,1,1,1,0,-1,1,0,0,0,-1,-1,1,-1,1,0,1,0,1,-1,0,-1,1,0,1,0,1,-1,0,0,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,1,1,1,-1,1,1,1,0,-1,-1,-1,1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,1
Nelson Pellegrino,PT,BA,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,0,-1,-1,-1,1,-1,1,0,0,0,0,-1,1,-1,-1,1,0,0,-1,0,-1,0,0,0,0,-1,0,1,-1,-1,1,0,0,1,1,-1,1,1,0,1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,0,0,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-1,0,-1,0,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,-1,0,1,1,1,-1,-1,1,1,1,0,1,0,1,0,-1,0,-1,-1,0,0,0,0,1,1
Félix Mendonça,PTB,BA,1,1,-1,-1,1,0,1,1,1,1,1,-1,0,0,-1,-1,0,1,-1,1,-1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,1,-1,1,1,0,0,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,0,1,0,0,-1,0,0,1,0,-1,-1,0,0,0,1,1,0,1,0,-1,0,1,-1,-1,0,0,0,1,1,1,1,1,0,1,0,-1,-1,0,-1,0,0,0,1,1,0,0,-1,0,-1,1,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0
Jonival Lucas Junior,PMDB,BA,-1,1,0,-1,1,0,0,-1,0,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
