nome,partido,uf,MPV 267/2005,MPV 268/2005,MPV 269/2005,MPV 269/2005,MPV 269/2005,MPV 272/2005,MPV 273/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 276/2006,MPV 276/2006,MPV 276/2006,MPV 278/2006,MPV 278/2006,MPV 279/2006,MPV 279/2006,MPV 280/2006,MPV 280/2006,MPV 280/2006,MPV 280/2006,MPV 281/2006,MPV 283/2006,MPV 283/2006,MPV 284/2006,MPV 284/2006,MPV 284/2006,MPV 285/2006,MPV 285/2006,MPV 287/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 316/2006,MPV 327/2006,PDC 2075/2005,PEC 199/2003,PEC 199/2003,PEC 347/1996,PEC 347/1996,PEC 349/2001,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/2006,PEC 548/2002,PEC 548/2002,PEC 548/2002,PEC 7/2003,PEC 7/2003,PEC 7/2003,PL 4428/2004,PL 4591/2004,PL 4776/2005,PL 5855/2005,PL 5855/2005,PL 5855/2005,PL 6272/2005,PL 6272/2005,PL 6272/2005,PL 6272/2005,PLP 123/2004,PLP 123/2004,PLP 184/2004,PLP 22/2003,PLP 22/2003,PLP 249/2005,PLP 249/2005,PLP 249/2005,PLP 380/2006,PLP 76/2003,PLP 76/2003,REP 43/2005
Luiz Alberto,PT,BA,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,1,0,-1,1,0,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,-1,-1,1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,0,1,0,-1,1,-1,-1,-1,-1,1,-1,0,0,0,1,1,1,1,1,-1,-1
Walter Pinheiro,PT,BA,0,1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,0,-1,0,0,-1,1,1,0,0,0,0,-1,-1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,0,1,1,1,-1,1,1,1,1,0,0,0,1,-1,-1,0,1,0,1,1,-1,1,1,1,1,1,0,-1
Zezéu Ribeiro,PT,BA,0,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,1,1,0,0,0,-1,-1,-1,-1,-1,0,0,1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,0,0,1,0,1,1,-1,-1,-1,1,-1,0,0,0,1,0,1,1,1,-1,-1
Luiz Bassuma,PT,BA,0,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,-1,-1,1,-1,1,0,0,-1,1,0,0,1,-1,-1,0,1,-1,1,1,-1,1,1,-1,1,1,-1,-1
Nelson Pellegrino,PT,BA,0,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,-1,1,-1,1,-1,1,1,1,-1,1,0,0,1,-1,-1,0,0,0,1,1,0,1,1,-1,1,1,-1,-1
Coriolano Sales,PFL,BA,-1,0,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,-1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,-1,-1,0,-1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Geddel Vieira Lima,PMDB,BA,1,1,1,-1,0,0,-1,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,-1,-1,-1,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,1,0,1,0,1,1,1,-1,0
Colbert Martins,PPS,BA,-1,0,-1,-1,1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,1,-1,1,0,0,-1,1,0,0,-1,1,-1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,-1,1,1,-1,-1,1,1,0,0,1,1,1,1,1,0,1,-1,1,-1,0,1,-1,1,1,-1,1,1,-1,1,1,-1,-1
Jairo Carneiro,PFL,BA,-1,1,-1,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,1,1,-1,-1,-1,-1,1,-1,1,0,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,0,0,0,1,1,0,1,1,-1,1,0,1,-1,1,0,0,1,1,0,1,1,0,1
Claudio Cajado,PFL,BA,0,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,1,1,-1,-1,-1,-1,1,-1,1,0,1,0,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,1,1,0,0,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1
