nome,partido,uf,REQ 3970/2016,PLP 163/2015,REQ 4881/2016,REQ 5022/2016,MSC 471/2016,PL 6568/2016,REQ 5679/2016,REQ 5829/2017,MPV 747/2016,MPV 747/2016,REQ 5468/2016,REQ 6026/2017,REQ 6074/2017,PEC 209/2012,PEC 395/2014,PL 4302/1998,PL 4302/1998,PL 4302/1998,PL 4302/1998,REQ 6053/2017,MPV 751/2016,PEC 395/2014,PL 5587/2016,PL 5587/2016,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,REQ 6281/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,REQ 6292/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,MPV 752/2016,MPV 752/2016,MPV 752/2016,MPV 752/2016,MPV 752/2016,PEC 304/2017,PEC 304/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,MPV 757/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,REQ 6015/2017,MPV 755/2016,MPV 763/2016,MPV 763/2016,MPV 763/2016,MPV 763/2016,PLP 54/2015,MPV 765/2016,MPV 767/2017,PLP 54/2015,PLP 54/2015,PEC 304/2017,REQ 6150/2017,PEC 199/2016,REQ 6711/2017,MPV 759/2016,MPV 759/2016,MPV 759/2016,MPV 759/2016,MPV 759/2016,MPV 770/2017,MPV 770/2017,MPV 770/2017
Pedro Chaves,PMDB,GO,1,1,0,1,1,1,1,0,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,1,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1
Mário Heringer,PDT,MG,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,1,-1,1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauro Lopes,PMDB,MG,1,1,0,0,1,0,0,1,0,0,0,0,0,1,-1,-1,-1,-1,1,1,-1,1,0,1,-1,-1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,1,0,1,-1,0,0,1,1,1,-1,1,-1,-1,0,-1,-1,0,0,1,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bonifácio de Andrada,PSDB,MG,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1,-1,1,-1,0,0,0,-1,0,1,1,1,1,1,-1,1,1,0,-1,1,-1,-1,0,-1,-1,0,0,-1,0,1,0,0,1,1,0,0,0,0,0,-1,-1,-1
Gonzaga Patriota,PSB,PE,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,-1,0,0,1,-1,1,1,-1,0,0,0,0,0,0,0,0,1,-1,-1,0,1,1,1,1,-1,1,0,1,0,-1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,1,1,1,1,1,0,-1,-1,0,0,0,-1,0,-1
Hermes Parcianello,PMDB,PR,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1
Pompeo de Mattos,PDT,RS,1,1,1,1,1,1,0,1,1,-1,0,1,0,0,0,0,-1,0,-1,0,1,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,1,-1,0,0,0,-1,-1,0,0,-1,1,1,0,1,1,-1,-1,1,-1,-1,0,1,-1,0,0,1,-1,0,1,1,-1,0,0,-1,0,0,0,0,1,0,0,-1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Janete Capiberibe,PSB,AP,0,0,0,0,0,-1,-1,-1,0,0,-1,1,-1,1,0,0,1,0,-1,0,1,-1,0,0,1,1,1,-1,0,0,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,0,0,-1,-1,-1,1,0,0,0,0,0,1,1,-1,1,-1,-1,0,0,1,0,1,-1,1,0,-1,-1,-1,-1,1,1,1,-1,0,1,1,0,-1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,-1,1,-1,0,0,0
Daniel Almeida,PCdoB,BA,1,1,0,0,-1,-1,1,-1,0,-1,1,0,1,0,1,0,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,0,0
Nilton Capixaba,PTB,RO,1,1,0,0,1,1,0,0,-1,0,0,1,1,1,0,-1,0,-1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,0,1,-1,1,0,1,1,0,1,-1,1,-1,-1,0,1,1,1,-1,0,0,0,0,0,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,0,0,1,1,1,1,-1,0,1,1,1,-1,1,0,-1,-1,0,-1,-1,0,-1,1,1,1,1,1,1,0,-1,1,-1,1,0,-1,-1
