nome,partido,uf,MPV 502/2010,MPV 502/2010,MPV 502/2010,MPV 503/2010,MPV 511/2010,MPV 511/2010,MPV 511/2010,MPV 511/2010,MPV 511/2010,MPV 511/2010,MPV 512/2010,MPV 512/2010,MPV 513/2010,MPV 514/2010,MPV 517/2010,MPV 517/2010,MPV 517/2010,MPV 517/2010,MPV 521/2010,MPV 527/2011,MPV 527/2011,MPV 527/2011,MPV 527/2011,MPV 527/2011,MPV 527/2011,MPV 527/2011,MPV 527/2011,MPV 528/2011,MPV 528/2011,MPV 530/2011,MPV 530/2011,MPV 530/2011,MPV 532/2011,MPV 532/2011,MPV 532/2011,MPV 532/2011,MPV 532/2011,MPV 532/2011,MPV 533/2011,MPV 533/2011,MPV 539/2011,MPV 540/2011,MPV 541/2011,PDC 1351/2008,PDC 220/2011,PDC 220/2011,PDC 220/2011,PDC 2600/2010,PDC 2600/2010,PDC 2600/2010,PDC 47/2011,PEC 270/2008,PEC 445/2009,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 61/2011,PEC 98/2007,PEC 98/2007,PEC 98/2007,PEC 98/2007,PL 1209/2011,PL 1749/2011,PL 1876/1999,PL 1876/1999,PL 1876/1999,PL 382/2011,PL 382/2011,PL 382/2011,PL 3937/2004,PLP 306/2008,PLP 87/2011,REC 92/2011,REQ 1548/2011,REQ 2086/2011,REQ 2714/2011,REQ 343/2011,REQ 349/2011,REQ 7537/2010
João Campos,PSDB,GO,0,0,0,0,0,0,0,0,0,-1,1,0,-1,1,0,0,1,-1,0,0,0,-1,0,-1,-1,-1,1,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,1,0,-1,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,-1,1,1,1,1,-1,1,-1,0,-1,0,1,0,0,1,1
Gastão Vieira,PMDB,MA,-1,-1,0,0,-1,-1,-1,0,1,0,1,-1,1,-1,-1,1,-1,1,-1,-1,0,0,1,1,1,1,1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,-1,1,0,0,0,0,0,-1,-1,1,0,1
Pedro Fernandes,PTB,MA,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0
Sarney Filho,PV,MA,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,-1,0,1,1,0,0,0,0,1,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,-1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,0,-1,0,-1,1,-1,1,0,0,0,1,-1
Ribamar Alves,PSB,MA,-1,-1,-1,0,0,-1,0,1,0,1,0,-1,1,-1,-1,1,0,1,0,0,0,1,1,1,1,0,0,-1,0,-1,0,-1,-1,0,1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,1,0,1,1,-1,0,-1,0,0,-1,1,1,-1,0,0,1,0,-1,-1,0,-1,1,0,1,1,1,1,0,0,1,1,0,0,-1,1,-1,-1,-1,1,0,0,0,-1,0,-1,-1,1,0,0
Odair Cunha,PT,MG,-1,-1,0,-1,-1,-1,-1,1,0,1,0,-1,1,-1,-1,0,-1,1,0,-1,0,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,0,-1,-1,1,1,0,0,0,0,-1,0,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,-1,-1,-1,1,0,1,0,-1,1,-1,-1,1,1,0
Reginaldo Lopes,PT,MG,0,-1,-1,-1,0,-1,0,0,0,0,1,0,0,-1,-1,1,-1,1,-1,0,0,1,1,1,1,1,1,-1,0,-1,0,-1,-1,-1,0,1,1,1,-1,0,0,1,0,0,0,0,0,0,-1,1,0,1,0,-1,-1,0,-1,1,-1,1,1,-1,-1,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,0,1,1,1,-1,0,0,1,0,-1,0,1,0,1,0,-1,0,-1,0,1,0,1
Gilmar Machado,PT,MG,-1,-1,0,-1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,1,-1,1,-1,-1,-1,1,1,1,0,1,1,0,-1,0,-1,-1,-1,-1,1,1,1,1,-1,-1,0,0,1,0,0,0,0,-1,0,1,0,0,1,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,1,-1,-1,1,0,1
Leonardo Monteiro,PT,MG,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,0,-1,-1,1,-1,1,0,-1,-1,1,1,1,1,0,1,-1,-1,0,-1,-1,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,1,1,0,-1,-1,0,1,0,1,1,1,1,0,0,0,0,-1,1,0,-1,-1,-1,-1,1,-1,1,1,0,1,0,0,1,1,0
Saraiva Felipe,PMDB,MG,-1,-1,-1,-1,0,-1,-1,0,0,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,1,0,0,0,0,-1,-1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,1,1,-1,0,-1,-1,1,1,1,1,1,1,-1,1,0,1,1,1,0,1,1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1
Geraldo Thadeu,PPS,MG,0,0,0,-1,0,0,0,0,0,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,-1,0,-1,1,0,1,1,-1,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,1,1,-1,0,-1,1,0,1,-1,-1,1,-1,1
Eduardo Barbosa,PSDB,MG,0,0,1,0,0,0,0,0,-1,-1,1,1,-1,1,0,-1,1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,0,1,1
Biffi,PT,MS,0,-1,-1,-1,-1,-1,0,1,1,0,1,-1,1,-1,0,1,-1,1,0,-1,-1,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,0,1,1,-1,0,0,1,1,0,0,0,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,-1,1,1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,-1,0,-1,-1,-1,-1,1,0,1,0,-1,1,-1,-1,1,1,1
Vander Loubet,PT,MS,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,-1,-1,1,0,1,0,0,1,-1,0,0,0,0,-1,0,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,-1,1,1,-1,0,0,1,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,0,-1,-1,-1,1,-1,-1,1,0,1,-1,-1,0,1,1
Zé Geraldo,PT,PA,-1,0,-1,0,-1,-1,0,0,0,1,-1,-1,0,-1,-1,1,0,1,0,-1,-1,1,1,0,0,1,0,-1,-1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,-1,-1,1,0,1,0,-1,0,-1,-1,1,-1,1,1,-1,-1,0,1,1,0,-1,0,-1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,-1,-1,-1,1,0,1,0,-1,1,-1,-1,1,1,1
Josué Bengtson,PTB,PA,0,-1,0,-1,0,-1,-1,1,0,0,1,1,1,-1,0,1,-1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,0,0,0,-1,-1,1,0,1,0,-1,-1,0,0,1,-1,1,1,-1,-1,-1,1,1,-1,0,-1,0,1,-1,1,1,1,1,-1,1,1,0,1,0,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,0,1
José Priante,PMDB,PA,0,0,-1,-1,0,-1,0,1,1,1,0,0,0,-1,0,0,0,1,0,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,1,0,-1,-1,0,-1,0,0,0,0,-1,-1,1,0,0,1,-1,-1,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,-1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,-1,-1,1,0,-1,0,0,1,-1,-1,1,1,1
Zenaldo Coutinho,PSDB,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Luiz Couto,PT,PB,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,1,1,0,0,0,0,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,1
Benjamin Maranhão,PMDB,PB,0,-1,-1,-1,0,0,0,0,0,0,1,1,0,-1,-1,1,-1,0,-1,-1,0,1,1,1,1,1,1,-1,-1,0,0,-1,0,-1,0,1,1,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,1,-1,-1,0,0,1,-1,-1,0,-1,0,1,1,1,0,0,-1,1,1,0,1,0,0,1,1,-1,-1,1,0,-1,0,0,1,-1,-1,0,1,1
Marcelo Castro,PMDB,PI,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,-1,0,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,1,0,0,0,0,-1,-1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,-1,-1,1,0,-1,1,-1,1,-1,-1,1,1,1
Dr. Rosinha,PT,PR,0,-1,-1,0,-1,-1,-1,1,1,1,0,-1,0,-1,0,1,-1,1,-1,0,-1,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,-1,1,1,-1,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,-1,0,1,1,0
Assis do Couto,PT,PR,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,1,-1,-1,1,0,0,-1,-1,-1,1,1,1,1,1,1,-1,-1,0,-1,-1,-1,0,1,1,1,1,0,0,-1,1,1,0,0,0,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,0,1,1
Moacir Micheletto,PMDB,PR,0,0,-1,0,-1,0,-1,1,1,0,-1,1,1,-1,0,0,0,0,-1,-1,-1,1,1,1,1,0,1,-1,-1,0,0,-1,-1,0,1,-1,1,1,0,-1,0,0,1,0,0,0,0,0,-1,1,0,1,1,-1,-1,0,0,1,-1,1,1,-1,-1,0,0,1,0,-1,-1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,-1,-1,1,0,-1,1,0,1,0,-1,1,1,1
Osmar Serraglio,PMDB,PR,-1,-1,0,-1,-1,-1,-1,1,1,1,0,1,1,-1,-1,1,-1,1,-1,-1,-1,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,1,1,0,0,0,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,-1,1,1,-1,-1,0,1,1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,1,-1,1,0,1,1,-1,-1,1,0,-1,0,-1,1,-1,-1,1,1,1
Alex Canziani,PTB,PR,0,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,1,0,1,1,-1,-1,0,1,1,0,0,0,0,-1,-1,1,0,1,0,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,0,1,1,1,1,1,1,0,1,1,0,-1,1,0,1,0,-1,-1,1,0,-1,0,0,1,-1,-1,1,1,1
Jandira Feghali,PCdoB,RJ,0,0,0,0,-1,-1,-1,0,1,0,1,-1,1,-1,-1,0,-1,1,-1,-1,-1,1,1,1,0,1,0,0,-1,0,0,0,-1,-1,1,1,0,1,0,-1,-1,1,1,0,0,0,0,-1,-1,1,0,1,1,-1,-1,0,-1,1,-1,1,1,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,-1,-1,0,1,1,-1,-1,1,-1,-1,1,0,0,-1,-1,1,1,1
Fátima Bezerra,PT,RN,0,-1,-1,0,-1,-1,-1,1,1,0,0,0,1,-1,-1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,1,1,1,0,0,0,1,1,0,0,0,0,-1,-1,0,0,1,1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,1,0,0,-1,-1,-1,1,1,1,1,1,1,0,1,0,1,1,0,0,-1,-1,-1,-1,1,0,1,0,-1,1,-1,-1,1,1,1
Henrique Eduardo Alves,PMDB,RN,-1,0,0,0,0,-1,0,1,0,0,1,-1,1,0,0,1,-1,0,0,0,0,0,1,1,1,0,1,0,-1,-1,0,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,-1,0,0,0,1,0,1,1,-1,-1,0,1,1,0,-1,-1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,-1,-1,1,-1,-1,1,0,1,0,0,1,1,0
Marinha Raupp,PMDB,RO,0,-1,0,0,-1,-1,-1,1,0,0,1,1,0,-1,0,1,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,-1,-1,0,-1,1,1,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,1,1,0,-1,0,-1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,-1,-1,1,-1,-1,1,-1,0,-1,0,1,1,1
Paulo Pimenta,PT,RS,-1,0,-1,-1,-1,0,0,1,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,-1,0,0,1,0,1,1,0,-1,0,1,1,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,1,-1,1,1,-1,0,-1,1,1,0,-1,0,0,1,1,1,1,1,1,0,1,1,0,-1,0,0,-1,-1,-1,-1,1,0,0,1,-1,0,0,-1,1,1,1
Henrique Fontana,PT,RS,-1,-1,-1,0,-1,-1,-1,1,0,1,-1,-1,1,-1,-1,1,-1,1,0,0,0,0,1,0,1,1,1,-1,-1,-1,0,-1,-1,0,1,1,1,1,-1,0,-1,-1,1,0,0,0,0,-1,0,1,0,1,1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,-1,0,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,1,1,1
Darcísio Perondi,PMDB,RS,-1,-1,0,-1,1,1,1,-1,0,-1,0,1,1,0,1,0,0,0,-1,0,1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,1,1,1,-1,0,-1,-1,1,1,0,0,0,0,0,0,-1,0,1,1,-1,0,0,-1,1,-1,1,1,-1,-1,0,1,1,0,-1,-1,-1,1,1,0,1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,0,1,0,1,1
Mendes Ribeiro Filho,PMDB,RS,-1,-1,0,-1,-1,-1,-1,1,1,1,-1,1,0,0,0,1,0,0,-1,-1,-1,1,1,1,1,1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,0,0,0,0,0,-1,0,1,1,1
Eliseu Padilha,PMDB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0,0,1,1,0,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,0,0,0
Luci Choinacki,PT,SC,0,0,-1,0,-1,-1,-1,0,0,1,0,-1,0,-1,0,1,-1,1,-1,-1,-1,1,0,1,1,1,1,-1,0,-1,0,-1,0,-1,0,1,1,1,-1,-1,-1,0,1,0,0,0,0,-1,-1,1,0,1,1,0,0,0,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,0,0,1,-1,-1,1,1,1
Arlindo Chinaglia,PT,SP,-1,0,-1,0,-1,-1,-1,0,1,0,0,0,0,-1,0,1,0,1,-1,-1,-1,1,1,1,1,1,1,0,0,-1,0,-1,0,0,1,1,0,0,0,-1,-1,1,0,0,0,0,0,-1,0,1,0,0,0,-1,-1,0,0,1,-1,1,1,-1,-1,-1,1,1,0,-1,0,0,1,1,1,1,1,1,0,1,0,0,-1,1,0,1,-1,-1,-1,1,-1,1,0,0,0,-1,-1,1,1,1
João Paulo Cunha,PT,SP,-1,0,-1,-1,0,-1,0,1,0,1,0,0,1,-1,-1,0,0,1,-1,0,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,-1,1,0,1,1,-1,0,0,0,1,-1,1,1,-1,0,-1,1,1,0,0,0,0,1,1,1,1,1,1,-1,1,1,1,0,1,0,1,-1,-1,-1,1,0,0,0,0,1,-1,-1,0,1,1
José Mentor,PT,SP,-1,0,-1,0,-1,0,-1,1,0,0,0,0,1,0,-1,1,-1,1,-1,-1,0,1,1,1,1,1,1,0,-1,0,0,-1,0,-1,0,0,1,0,-1,-1,0,1,0,0,0,0,0,-1,-1,1,0,1,1,-1,-1,-1,0,1,-1,1,1,-1,0,0,1,0,-1,-1,-1,0,1,1,1,0,1,0,-1,1,1,1,0,0,0,1,-1,-1,-1,1,0,1,0,-1,1,-1,-1,1,1,1
Devanir Ribeiro,PT,SP,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,1,1,0,0,-1,1,1,0,0,0,0,-1,-1,1,0,1,1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,1,1,-1,-1,0,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,1
